번호,지역,도서관명,주소,운영상태,홈페이지
465,서울,서울 강서구곰달래도서관 ,"서울특별시 강서구 강서로5길 50, 5-6층 ",시행중 , 
464,서울,서울 강서구강서영어도서관 ,"서울특별시 강서구 곰달래로57가길 26, 2층 ",시행중 , 
463,서울,서울 강서구가양도서관 ,서울특별시 강서구 양천로61길 101 ,시행중 , 
462,서울,서울 강서구등빛도서관 ,서울특별시 강서구 강서로62길 48 ,시행중 , 
461,서울,서울 강남구립개포하늘꿈도서관,서울특별시 강남구 개포로 110길 54 강남구립개포하늘꿈도서관 ,시행중 ,https://library.gangnam.go.kr/hnkklib 
460,서울,서울 제기동감초마을현진건기념도서관,서울특별시 동대문구 약령시로9길 45 4층~5층 ,시행중 ,https://www.l4d.or.kr/jghl 
459,서울,서울 서초구립방배숲환경도서관,서울특별시 서초구 방배동 126-1 서초구립방배숲환경도서관 ,시행중 ,https://forest.seocholib.or.kr 
458,서울,서울 마포나루메타버스도서관,서울특별시 마포구 마포대로 8 호텔 나루 1층 ,시행중 , 
457,서울,서울 강남일원라온영어도서관,서울특별시 강남구 영동대로 22  일원스포츠문화센터 지하1층 ,시행중 ,https://library.gangnam.go.kr/englib 
456,서울,서울 영등포생각공장도서관,서울특별시 영등포구 문래북로 105 영등포생각공장도서관 ,시행중 ,https://www.ydplib.or.kr/sglib/index.do 
455,서울,서울 강동구립북카페도서관다독다독굽은다리역점,서울특별시 강동구 양재대로 1548 3층 ,시행중 ,https://www.gdlibrary.or.kr 
454,서울,서울 영등포구밤동산마을도서관,서울특별시 영등포구 여의대방로 61길 18-2 ,시행중 ,https://www.ydplib.or.kr/bdslib/index.do 
453,서울,서울 까망돌도서관,서울특별시 동작구 흑석동 340-1 ,시행중 ,https://lib.dongjak.go.kr 
452,서울,서울 강남세곡마루도서관(작은도서관),"서울특별시 강남구 헌릉로 590길 68, 2층(세곡동) ",시행중 , 
451,서울,서울 강동구북카페도서관다독다독고덕점,서울특별시 강동구 고덕동 225-2 ,시행중 ,https://www.gdlibrary.or.kr 
450,서울,서울 구로구기적의도서관,서울특별시 구로구 구로중앙로40길 24 ,시행중 ,https://lib.guro.go.kr 
449,서울,서울 영등포늘샘드리마을도서관,서울특별시 영등포구 도영로7길 10 ,시행중 ,https://www.ydplib.or.kr/small/index.do 
448,서울,서울 동작구양문작은도서관,서울특별시 동작구 시흥대로 646 ,시행중 ,https://lib.dongjak.go.kr 
447,서울,서울 강동북카페도서관다독다독암사시장점,"서울특별시 강동구 암사동 500-23, 7층 ",시행중 ,https://www.gdlibrary.or.kr 
446,서울,서울 마포소금나루도서관,서울특별시 마포구 숭문길 72 ,시행중 , 
445,서울,서울 도봉구김근태기념도서관,서울특별시 도봉구 도봉산길 14(도봉동279) ,시행중 , 
444,서울,서울 강동구립북카페도서관다독다독고분다리시장점,"서울특별시 강동구 구천면로34길 16, 1층 ",시행중 ,https://www.gdlibrary.or.kr 
443,서울,서울 서초청소년도서관,서울특별시 서초구 효령로 77길 37  ,시행중 ,http:seocho.seocholib.or.kr 
442,서울,서울 양천중앙도서관,"서울특별시 양천구 신정동 1319-4, 5 ",시행중 ,http://lib.yangcheon.go.kr 
441,서울,서울 강동구립북카페도서관다독다독길동사거리점,"서울특별시 강동구 양재대로 1419, 2층 ",시행중 ,http://www.gdlibrary.or.kr 
